filtrar domingo (7)									
DIA	fecha	clase1	clase2						
5	2021-04-30	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
6	2021-05-01	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	TAPAS	
7	2021-05-02								
1	2021-05-03	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	TAPAS	
2	2021-05-04	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
3	2021-05-05	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
4	2021-05-06	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
5	2021-05-07	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
6	2021-05-08	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
7	2021-05-09								
1	2021-05-10	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
2	2021-05-11	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
3	2021-05-12	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
4	2021-05-13	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
5	2021-05-14	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
6	2021-05-15	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	TAPAS	
7	2021-05-16								
1	2021-05-17	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
2	2021-05-18	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
3	2021-05-19	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
4	2021-05-20	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
5	2021-05-21	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
6	2021-05-22	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
7	2021-05-23								
